time,Altitude,Sats,Speed,Location,Pressure,Temperature,Voltage,Status
"Tue, 25 Apr 2023 14:33:59",,,,,725.0,24.67724498359655,4.020392156862744,No GPS
"Tue, 25 Apr 2023 14:37:35",,,,,1012.0,,,
"Tue, 25 Apr 2023 14:37:36",,,,,,23.96922636758984,4.020392156862744,No GPS
"Tue, 25 Apr 2023 14:41:08",,,,,1013.0,18.25930037384603,,No GPS
"Tue, 25 Apr 2023 14:41:09",,,,,,,4.038431372549019,
"Tue, 25 Apr 2023 14:44:40",67.0,,,,,,,
"Tue, 25 Apr 2023 14:44:41",,6.0,0.0,"(51.00846773436473,-0.11043191614339776)",1012.0,16.977542534523536,4.038431372549019,GPS
"Tue, 25 Apr 2023 14:49:16",95.0,,,"(51.007931292529776,-0.11345744809256075)",,,,
"Tue, 25 Apr 2023 14:49:17",,10.0,5.0,,990.0,,,GPS
"Tue, 25 Apr 2023 14:49:18",,,,,,11.899340047302962,4.056470588235294,
"Tue, 25 Apr 2023 14:52:29",398.0,10.0,5.0,"(51.00564605031289,-0.11845708599429372)",973.0,,,
"Tue, 25 Apr 2023 14:52:30",,,,,,12.677550164034482,4.056470588235294,GPS
"Tue, 25 Apr 2023 14:57:08",408.0,,,"(51.00431567456221,-0.1218259407178266)",942.0,,,
"Tue, 25 Apr 2023 14:57:09",,11.0,6.0,,,8.917727168688476,,GPS
"Tue, 25 Apr 2023 14:57:10",,,,,,,4.056470588235294,
"Tue, 25 Apr 2023 15:00:20",809.0,,,"(51.00170856724432,-0.1295721608145186)",925.0,,,
"Tue, 25 Apr 2023 15:00:21",,12.0,8.0,,,7.077489127946888,,GPS
"Tue, 25 Apr 2023 15:00:22",,,,,,,4.065490196078431,
"Tue, 25 Apr 2023 15:04:52",822.0,,,"(50.99940186735404,-0.13384223782077243)",889.0,,,
"Tue, 25 Apr 2023 15:04:53",,12.0,6.0,,,7.678694590676741,4.065490196078431,GPS
"Tue, 25 Apr 2023 15:08:01",1474.0,11.0,,"(50.9974170325647,-0.14281154530118556)",856.0,,,
"Tue, 25 Apr 2023 15:08:02",,,8.0,,,5.978839551384749,4.074509803921568,GPS
"Tue, 25 Apr 2023 15:12:36",1489.0,12.0,,"(50.99609738565073,-0.14680267255323542)",806.0,,,
"Tue, 25 Apr 2023 15:12:37",,,6.0,,,1.297371633478292,4.074509803921568,GPS
"Tue, 25 Apr 2023 15:15:47",2249.0,,,"(50.99134451099303,-0.14952779707476793)",,,,
"Tue, 25 Apr 2023 15:15:48",,11.0,10.0,,774.0,3.757125963225758,,GPS
"Tue, 25 Apr 2023 15:15:49",,,,,,,4.083529411764706,
"Tue, 25 Apr 2023 15:18:58",2497.0,,,"(50.984692632239614,-0.14890552454625094)",749.0,,,
"Tue, 25 Apr 2023 15:18:59",,12.0,15.0,,,,,GPS
"Tue, 25 Apr 2023 15:19:00",,,,,,5.478343633173108,4.074509803921568,
"Tue, 25 Apr 2023 15:22:08",2731.0,,,"(50.98090535288486,-0.14502168566116325)",726.0,,,
"Tue, 25 Apr 2023 15:22:09",,12.0,10.0,,,6.189414053559176,4.065490196078431,GPS
"Tue, 25 Apr 2023 15:25:19",2937.0,,,,,,,
"Tue, 25 Apr 2023 15:25:20",,11.0,19.0,"(50.975787697779396,-0.13813377250039593)",708.0,5.508861676966513,,GPS
"Tue, 25 Apr 2023 15:25:21",,,,,,,4.065490196078431,
"Tue, 25 Apr 2023 15:28:31",3066.0,,,"(50.96839552929376,-0.1283061580840581)",,,,
"Tue, 25 Apr 2023 15:28:32",,11.0,22.0,,696.0,6.1497405966277485,,GPS
"Tue, 25 Apr 2023 15:28:33",,,,,,,4.065490196078431,
"Tue, 25 Apr 2023 15:31:42",3289.0,12.0,,"(50.95910435671237,-0.11262059883000575)",677.0,,,
"Tue, 25 Apr 2023 15:31:43",,,33.0,,,6.888277256427864,,GPS
"Tue, 25 Apr 2023 15:31:44",,,,,,,4.065490196078431,
